date,flight,route,status,verdict,category,csv_airline,csv_class,gmail_status,gmail_cabin,gmail_cost,booking_pnr,email_subject,email_from,email_sent,notes
2014-08-24,AA84,BOS-JFK,GMAIL_ONLY,DELETE,PRE_CSV,,,scheduled,,,ERZKUH,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/148056b7bf5fd9a1"",""American Airlines Boarding Pass(es)."")",americanairlines@aa.com,2014-08-23,"Flown (PNR ERZKUH) but pre-CSV. Hard start 2015 for CSV parity -> DELETE. | 2014 AA boarding pass, PNR ERZKUH — real flight but predates CSV (log starts 2015)"
2014-08-25,AA2314,JFK-BOS,GMAIL_ONLY,DELETE,PRE_CSV,,,scheduled,,,ERZKUH,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/14808addbc24bca7"",""American Airlines Boarding Pass(es)."")",americanairlines@aa.com,2014-08-24,Flown (PNR ERZKUH) but pre-CSV. Hard start 2015 -> DELETE. | 2014 AA boarding pass — predates CSV
2015-01-03,HU481,PEK-BOS,CSV_ONLY,KEEP,NO_EMAIL,Hainan,Economy,,,,,,,,NO EMAIL: searched flight#/Hainan/PEK-BOS ±1yr — none. CSV sole source.
2015-03-08,UA1711,BOS-EWR,CSV_ONLY,KEEP,NO_EMAIL_FOUND,United,Recliner First,,,,,,,,"HAS EMAIL (recoverable): UA eTicket NGV3VV, forwarded by dad (pguo8888) Mar 19 2015. Missed: family forward. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match)."
2015-03-08,UA89,EWR-PEK,CSV_ONLY,KEEP,NO_EMAIL_FOUND,United,Economy,,,,,,,,"HAS EMAIL (recoverable): UA eTicket NGV3VV (dad forward, Mar 2015). Missed: family forward. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match)."
2015-03-19,UA88,PEK-EWR,CSV_ONLY,KEEP,NO_EMAIL_FOUND,United,Economy,,,,,,,,HAS EMAIL (recoverable): UA eTicket NGV3VV (dad forward). Missed: family forward. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2015-03-19,UA1409,EWR-BOS,CSV_ONLY,KEEP,NO_EMAIL_FOUND,United,Economy,,,,,,,,HAS EMAIL (recoverable): UA eTicket NGV3VV (dad forward). Missed: family forward. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2015-07-05,B6487,BOS-LAX,MATCHED,KEEP,,JetBlue,Economy,scheduled,,,MRXVUL,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/14dcbdc0305a2be8"",""Itinerary for your upcoming trip"")",reservations@jetblue.com,2015-06-07,
2015-08-01,B6488,LAX-BOS,MATCHED,KEEP,,JetBlue,Economy,scheduled,,,MRXVUL,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/14dcbdc0305a2be8"",""Itinerary for your upcoming trip"")",reservations@jetblue.com,2015-06-07,
2015-12-18,UA677,BOS-EWR,GMAIL_ONLY,DELETE,DUPLICATE,,,scheduled,economy,42.9 USD + 160000 united_mileageplus,O9VV39,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1503db37ca0452e0"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation O9VV39"")",pguo8888@yahoo.com,2015-10-06,"Duplicate/superseded: you flew UA1928 BOS-EWR on 2015-12-18 (in CSV, 0d away). This booking version not flown — DELETE."
