Date,Scheduled Dep Time (Local),Scheduled Arr Time (Local),Airline,Flight,Dep Airport,Arr Airport,Class,Aircraft,Registration
2020-01-19,00:00,00:00,CA,CA1611,PEK,HRB,,,
2020-01-22,00:00,00:00,CA,CA1644,HRB,PEK,,,
2020-01-25,00:00,00:00,AC,AC32,PEK,YYZ,,,
2020-01-26,00:00,00:00,WS,WS3600,YYZ,BOS,,,
2020-03-15,00:00,00:00,DL,DL2667,BOS,DTW,,,
2020-05-20,00:00,00:00,DL,DL929,DTW,LAX,,,
2020-07-05,00:00,00:00,UA,UA2304,LAX,EWR,,,
2020-07-05,00:00,00:00,UA,UA3423,EWR,BOS,,,
2020-08-23,00:00,00:00,UA,UA647,BOS,DEN,,,
2020-08-23,00:00,00:00,UA,UA2451,DEN,ANC,,,
2020-08-29,00:00,00:00,UA,UA1104,ANC,DEN,,,
2020-08-29,00:00,00:00,UA,UA217,DEN,BOS,,,
2020-10-14,00:00,00:00,UA,UA531,BOS,SFO,,,
2020-10-15,00:00,00:00,UA,UA215,SFO,LAX,,,
2020-10-15,00:00,00:00,NZ,NZ1,LAX,AKL,,,
2021-01-17,00:00,00:00,NZ,NZ6,AKL,LAX,,,
2021-01-19,00:00,00:00,B6,B61088,LAX,BOS,,,
2021-03-12,00:00,00:00,B6,B6261,BOS,SJU,,,
2021-03-14,00:00,00:00,B6,B6262,SJU,BOS,,,
2021-04-17,00:00,00:00,DL,DL829,DTW,BOS,,,
2021-05-27,00:00,00:00,DL,DL2127,BOS,DTW,,,
2021-06-06,00:00,00:00,UA,UA267,BOS,DEN,,,
2021-06-09,00:00,00:00,UA,UA1736,DEN,OGG,,,
2021-06-14,00:00,00:00,UA,UA43,OGG,EWR,,,
2021-06-15,00:00,00:00,UA,UA697,EWR,BOS,,,
2021-06-29,00:00,00:00,UA,UA1470,BOS,IAD,,,
2021-06-29,00:00,00:00,UA,UA2435,IAD,SFO,,,
2021-09-04,00:00,00:00,UA,UA1242,SFO,PVR,,,
2021-09-06,00:00,00:00,UA,UA1243,PVR,SFO,,,
2021-12-23,00:00,00:00,B6,B61516,SFO,JFK,,,
2021-12-24,00:00,00:00,B6,B6869,JFK,PUJ,,,
2022-01-02,00:00,00:00,CM,CM242,PUJ,PTY,,,
2022-01-03,00:00,00:00,CM,CM382,PTY,SFO,,,
2022-04-01,00:00,00:00,UA,UA4710,SFO,SLC,,,
2022-04-05,00:00,00:00,UA,UA5736,SLC,SFO,,,
